uuid,total_duration,A_speak_num,A_speak_duration_mean,A_speak_duration_std,B_speak_num,B_speak_duration_mean,B_speak_duration_std,A_speak_duration_proportion,B_speak_duration_proportion,slience_duration_proportion,silence_counts_proportion,sum_B_filledpause,sum_B_correction,sum_B_repeat,sum_B_error,sum_A_filledpause,sum_A_correction,sum_A_repeat,sum_A_error,sum_A_word,sum_B_word,n,nl,ng,t,tg,s,f,v,vd,vn,vi,a,ad,an,ag,al,b,bl,z,r,rr,rz,rzt,rzs,rzv,ry,ryt,rys,ryv,rg,m,mq,q,qv,qt,d,p,pba,pbei,c,cc,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
P0001_0017,149.18,40.0,1.3911484375000005,1.1324714465544463,9.0,0.9594583333333321,0.7264765412861334,0.3730120492023061,0.05788393216248819,0.4933235018098939,0.5050505050505051,0.2272727272727273,0.0,0.0,0.0,0.13513513513513514,0.0,0.0,0.009009009009009007,222.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29.95835,0.1329987,28.86897,30.46803,32.448190000000004,3.5792260000000002,577.7241,562.3875,55.25316,50.84829000000001,0.022824200000000003,2.068594,0.008860845,0.009611248000000001,0.01787936,0.009018514,1.084028,1.103141,0.7702486,1.141267,0.0052179670000000004,3.699747,17.57747,0.5306457,18.56733,0.3164239,6.3792349999999995,1.26458,3.1985930000000002,2.426088,0.02401332,1.753425,1.231454,0.7203578,5.769742,0.4893229,11.204189999999999,0.9701142,36.462540000000004,0.14853929999999999,620.6419999999998,0.2590115,1566.2420000000006,0.11448399999999999,-197.1998,-0.1321654,1549.729,0.13728189999999998,1275.2060000000001,0.242436,-197.4181,-0.12267639999999999,2576.111,0.09233782,1020.622,0.3458525,-197.5857,-0.11680710000000001,-21.34478,-0.2358687,33.70446,0.1515619,0.0123102,1.23181,-0.01557138,-0.6337368,0.0934694,0.36549390000000004,38.37838,0.09903148,12.44172,0.6504165,9.48597,0.9326786,-6.3947059999999984,-0.9918921999999999,-15.447729999999998,25.360229999999998,0.02163552,0.01615531,0.003412094,0.1498469,0.14337850000000002,0.1304545,0.12066019999999998,6.526957,10.00333,-48.63355
P0004_0025,94.79,17.0,2.2272720588235297,2.1040398161210816,25.0,1.5974775000000003,1.2753204784984853,0.39944746281253307,0.42132015507964987,0.0,0.0,0.057471264367816084,0.0,0.03448275862068965,0.02298850574712644,0.08433734939759037,0.0,0.006024096385542169,0.0,166.0,87.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,34.549929999999996,0.1323371,30.78453,34.912659999999995,38.01052,7.225992,209.0988,266.0749,51.58384,67.08462,0.32034759999999995,1.329394,0.01558041,0.1027871,0.6304123,0.6148319,7.718953999999999,6.185421,4.921287,4.404563,0.16825910000000002,1.858925,19.45936,0.6302260000000001,3.501247,5.259963,5.351367,2.402403,-11.6434,-1.420976,0.03022875,1.4644409999999999,1.1643540000000001,0.7257779000000001,6.972497,0.5389715,5.350154,2.162053,24.55997,0.5389479,673.6634,0.23831439999999998,1416.864,0.13980320000000002,-131.1064,-0.6947960999999999,1617.13,0.12135710000000001,1100.703,0.25702729999999996,-131.523,-0.660917,2617.064,0.06940953,894.5407,0.3193572,-134.2634,-0.6208236,-13.631829999999999,-0.7919304,24.07977,0.40924109999999997,0.05691887,0.4650669,-0.01479745,-1.560637,0.35311440000000005,1.115941,26.58707,0.385036,0.2161721,99.69264,3.8892480000000003,3.837457,-18.51326,-0.860259,-8.895736999999997,17.81992,0.03828974,0.009341585999999999,0.05964982,0.9248675999999999,2.1626119999999998,0.1599519,0.15920020000000001,0.27885170000000004,0.5013270000000001,-24.07164
P0009_0031,115.0206875,34.0,0.9700128676470592,0.7467424604693729,27.0,1.71849074074074,1.1407428609686203,0.28673483194055865,0.4033991711273677,0.2620028679623393,0.3296703296703297,0.1056338028169014,0.0,0.035211267605633804,0.007042253521126761,0.2148148148148148,0.0,0.0,0.007407407407407408,135.0,142.0,25.0,0.0,0.0,0.0,0.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,27.31733,0.1394933,25.245810000000002,27.30433,29.64149,4.395681,192.7045,403.3844,38.853559999999995,29.64507,0.1146164,1.1809479999999999,0.009839383,0.02436737,0.2453393,0.23549989999999998,1.936334,1.363565,1.358868,0.9234709999999999,0.04535085,1.4297229999999999,22.31787000000001,0.5139229000000001,16.91938,0.4771643,6.604678,1.2328270000000001,-0.09889787,-87.43986,0.03333141,1.403203,1.4819799999999999,0.7513778,4.775949,0.5376325,1.7340470000000001,6.076448,35.72586,0.152582,658.3636,0.21693249999999997,1459.172,0.1337001,-174.4846,-0.3659206,1636.557,0.134749,1161.5539999999999,0.267934,-176.5337,-0.3323031,2661.433,0.09353232,991.3774,0.35341279999999997,-177.6958,-0.314184,-22.42775,-0.23421430000000001,33.40017,0.1672207,0.01984351,1.023699,-0.02573822,-0.4438924,0.1478454,0.4287532,35.92945,0.1752487,18.24095,0.4001599,8.825589,1.086266,-6.411974,-1.367544,-15.61633,25.453210000000002,0.01399237,0.004721181,0.02908226,1.274434,1.102688,0.11507809999999999,0.09809906,0.7716406,1.7639740000000002,-36.92726
P0013_0043,106.689375,15.0,1.9913166666666668,1.6728282069841618,19.0,1.9408815789473688,1.5041815885246013,0.27996930341001625,0.3456459464684278,0.0,0.0,0.054545454545454536,0.01818181818181818,0.00909090909090909,0.0,0.07692307692307693,0.0,0.0,0.0,117.0,110.0,10.0,0.0,0.0,1.0,0.0,4.0,1.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,30.01577,0.181089,28.477209999999996,30.50509000000001,32.65448,4.177261,251.3252,308.0991,102.504,171.25,0.09004535,1.260458,0.008600726999999999,0.02574136,0.184583,0.17598229999999998,1.4248049999999999,1.385071,0.9777364,0.9207153,0.02753589,1.60214,15.158029999999998,0.7089871,11.50692,1.0170270000000001,11.0715,0.9332128000000001,-0.1767934,-72.14046,0.03336873,2.087412,1.322206,0.7749159000000001,5.347822,0.5280212,4.109999,1.9285240000000001,27.413390000000003,0.3117488,658.8378,0.21181599999999998,1429.864,0.1255907,-177.5547,-0.33766009999999996,1631.9460000000001,0.1162461,1198.507,0.2393496,-179.0462,-0.3099409,2600.277,0.06373236,935.7344,0.2931629000000001,-179.3786,-0.30444899999999997,-18.66453,-0.358431,26.524309999999996,0.2193716,0.01366175,1.7151450000000001,-0.01788326,-0.8273603,0.099106,0.5200142,29.90205,0.1788088,13.051910000000001,0.9734901,12.99687,0.9825103999999999,-8.631604,-1.179555,-11.210469999999999,20.07849,0.01058593,0.01571646,0.01735183,1.089305,1.089796,0.1041322,0.09383184,0.7991666000000001,1.580367,-41.38142
P0014_0046,98.449375,21.0,1.4869464285714276,1.3858797639165823,10.0,1.0823312500000006,0.4529383236638301,0.3171769754759741,0.10993784876745034,0.0,0.0,0.13636363636363635,0.18181818181818185,0.0,0.0,0.13675213675213674,0.0,0.0,0.0,117.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.01374,0.10988599999999996,21.320510000000002,22.45156,23.370160000000002,2.049656,273.5513,422.3718,83.71488000000002,95.16724,0.03128001,1.8337849999999998,0.008165688,0.009155193,0.02339101,0.01522532,0.6692507,0.5930821,0.44342529999999997,0.3621589000000001,0.008771244000000001,2.983876,14.531360000000001,0.7509615,14.06272,0.5550514,6.2489989999999995,1.374124,2.740817,2.919723,0.04115772,1.613319,1.2248059999999998,0.7114001,2.943899,0.5587733,4.0121709999999995,1.2076959999999999,28.878159999999998,0.26154320000000003,496.5044,0.20672979999999996,1466.4520000000002,0.1254429,-197.8461,-0.1206075,1441.362,0.12246389999999999,1243.151,0.15021700000000002,-198.1414,-0.1091482,2349.9539999999997,0.06411736,949.7996,0.23968820000000002,-198.1919,-0.1071642,-21.19296,-0.213858,27.619870000000002,0.20311099999999999,0.01264477,1.362426,-0.01513423,-0.7056475999999999,0.07785424,0.296002,34.57138,0.09854642,14.465010000000001,0.5049179,15.79,0.3814338,2.450013,3.3041120000000004,-12.07574,21.439,0.02367655,0.01677904,0.0076628880000000005,0.4195531,0.1269036,0.1161539,0.08053078,7.19,8.894973,-48.866859999999996
P0016_0050,111.1705625,18.0,1.9316041666666683,1.7118660250392916,23.0,1.3782907608695631,0.5645374529006206,0.3127525328478933,0.2851536124952139,0.0,0.0,0.0625,0.0,0.02083333333333333,0.0,0.1044776119402985,0.0,0.0,0.0,134.0,96.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,29.02856,0.12031580000000001,26.75998,28.880670000000002,30.9484,4.188416999999999,144.5374,189.5482,97.38217,272.28700000000003,0.07274754,1.404923,0.008200968000000001,0.01291741,0.1740043,0.1658033,1.6627900000000002,1.497852,1.082648,0.8272849,0.02529848,1.966735,15.243229999999999,0.7755489000000001,15.640629999999998,0.6296337,5.8537930000000005,1.723918,3.907566000000001,2.292924,0.03298623,1.362455,1.382121,0.6718854000000001,5.988155,0.40961499999999995,6.602593,1.500205,35.82318,0.25014179999999997,526.9515,0.2813889,1501.372,0.1355906,-178.4375,-0.3328251,1475.161,0.1327225,1268.805,0.1820707,-180.0701,-0.2991919,2468.481,0.08387632,1083.7939999999999,0.3355841,-180.9667,-0.28477529999999995,-22.960520000000002,-0.24409299999999998,33.14985,0.180256,0.007175835,2.818261,-0.008416039,-1.361385,0.1085644,0.6002794,29.1242,0.21404600000000001,25.85678,0.3600808,11.66283,0.9415665999999999,1.329318,7.3800919999999985,-11.68168,21.54004,0.01781484,0.01796342,0.01372017,0.8780402,0.8872101,0.1277228,0.11143419999999997,1.008061,2.066955,-40.00778
P0019_0055,59.4936875,15.0,1.0284041666666677,0.7361733682782907,17.0,1.074389705882353,0.4326809826858965,0.259289063230448,0.3070010578853429,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.2272727272727273,0.0,0.0,0.0,66.0,46.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.41971,0.1719067,25.43015,30.60768,34.556999999999995,9.126842,154.7751,299.1244,148.415,366.1424,0.18386660000000002,1.999209,0.008373400999999999,0.01185116,0.2761575,0.26778409999999997,6.1119069999999995,4.981957,4.7755540000000005,3.705814,0.0947452,2.31589,17.25763,0.7737177,9.235627000000001,1.123768,6.583916,1.7106970000000001,0.7613013000000001,15.26345,0.03409754,1.397015,1.338273,0.8382676,6.384265,0.5519673,7.941935000000001,1.14031,30.40205,0.2876415,556.6875,0.2981422,1454.8410000000001,0.1339674,-169.894,-0.4172227,1489.0539999999999,0.12447089999999998,1117.786,0.2345326,-170.8712,-0.39062379999999997,2464.056,0.07102402,935.6444,0.33101729999999996,-172.3324,-0.368149,-17.296039999999998,-0.43004570000000003,27.636979999999998,0.2839796,0.06326451,0.326474,-0.01610192,-1.015566,0.4272482,0.6747167,35.896029999999996,0.24369780000000002,3.3811150000000003,3.9821419999999996,10.878789999999999,1.372788,-7.165885,-2.013633,-9.365667,18.67515,0.06546858,0.01993859,0.02968077,0.810767,0.7789679,0.20020829999999998,0.1746603,1.1089129999999998,1.7430860000000001,-26.73907
P0020_0056,118.01375,19.0,1.7570493421052646,1.5762258943849867,24.0,1.362929687499998,0.5372324107401063,0.282881761659129,0.27717374034805226,0.0,0.0,0.09523809523809523,0.0,0.015873015873015872,0.0,0.12781954887218044,0.0,0.0,0.0,133.0,126.0,9.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,32.38244,0.1121031,29.10251,32.28607,35.41817,6.315666,272.7054,395.8122,32.85119,27.34706,0.08945242,1.827609,0.008315775,0.01144008,0.1609682,0.1526524,3.53844,3.275862,2.322264,2.515686,0.02962361,2.259024,15.732870000000002,0.813338,9.439107,1.085766,5.065507,1.868396,4.218659,2.066719,0.03081127,0.8814613000000001,1.346771,0.7424242,6.456039,0.466713,8.971098,0.8464058000000001,29.10462,0.2900459,671.2699,0.24932729999999997,1509.47,0.12090029999999999,-176.9698,-0.34901909999999997,1588.351,0.09242651,1221.353,0.24556660000000002,-177.2559,-0.3357367,2543.456,0.0802658,1090.333,0.3525725,-178.6296,-0.3137321,-15.33036,-0.44983100000000004,29.13185,0.24856750000000002,0.06258926,0.2417871,-0.008994995,-1.277024,0.1488023,0.6213269,35.72937,0.2288689,3.993324,3.495003,2.588788,4.832315,3.298765,3.3866330000000002,-8.729566,18.11194,0.06289499,0.02127096,0.01172643,0.6432145,0.7308548,0.1691304,0.12909089999999998,1.275176,2.5255810000000003,-37.80169
P0021_0054,74.2680625,22.0,1.2835397727272726,1.0919008664082297,25.0,1.6307950000000004,1.2545355040406143,0.3802155872855845,0.5489556833396592,0.006373870329524226,0.02083333333333333,0.04316546762589928,0.007194244604316547,0.02877697841726619,0.0,0.1724137931034483,0.0,0.008620689655172414,0.0,116.0,139.0,15.0,0.0,0.0,1.0,0.0,1.0,3.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,33.8376,0.08600934,31.371229999999997,33.97855,36.277809999999995,4.906574,173.2684,250.0254,33.720929999999996,34.32885,0.211746,1.155166,0.01138479,0.1018428,0.4139719,0.4025871,4.949231,3.1301200000000002,3.571682,2.1203790000000002,0.0914821,1.403227,23.0249,0.5652996,6.542143,1.85445,3.503893,4.029909,1.42372,7.560908,0.03089973,1.157884,1.32264,0.6238833,6.530611,0.5135632,9.029285,1.155022,26.54921,0.3393903,657.3492,0.22963560000000002,1438.461,0.1318983,-140.1392,-0.6243333000000001,1641.0410000000006,0.09539165,1126.167,0.24858089999999997,-142.1113,-0.5788828,2564.778,0.08143871,1063.595,0.31826420000000005,-144.3156,-0.5482520000000001,-16.21428,-0.4200454000000001,26.17667,0.3160662,0.07127997,0.23739539999999998,-0.017624400000000002,-0.8066028000000001,0.2189875,0.5746637,32.61752,0.2584664,3.3168839999999995,3.8011239999999997,6.929357,2.329176,-1.064746,-11.07857,-10.63694,21.387539999999998,0.06917849,0.01333152,0.03017128,2.008191,1.5600209999999999,0.19872879999999998,0.1730119,0.4602778,0.9620804000000001,-31.71684
P0023_0044,91.0645,16.0,2.108800781249999,2.0330320921259286,10.0,1.684525000000002,1.4952147784450782,0.3705155411823486,0.1849815240845777,0.0,0.0,0.05882352941176471,0.0,0.1176470588235294,0.0,0.14754098360655735,0.0,0.0,0.0,122.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.497989999999998,0.09458739,21.62676,23.2874,25.4096,3.7828449999999996,259.8669,288.3686,25.30025,35.07965,0.06679254,1.764382,0.01085954,0.01411863,0.04608706,0.03522753,1.5926049999999998,1.330842,1.0533620000000001,0.8573545,0.02041963,2.446561,15.86104,0.4440593,11.51442,0.6808004,8.995973,1.0380790000000002,1.9739,4.180946,0.029739,0.8367437,1.385402,0.6924781,3.9992589999999995,0.43342929999999996,-1.047998,-7.995267,21.838379999999997,0.4455524,522.5893,0.281132,1386.26,0.1195134,-193.4479,-0.1827095,1521.146,0.1034661,1124.367,0.2019973,-194.0828,-0.1661572,2408.797,0.06205761,932.1373,0.2492086000000001,-194.115,-0.1653975,-19.09422,-0.23233310000000001,25.784660000000002,0.21843049999999997,0.00041085410000000003,50.73512,-0.010599,-1.103349,0.1749896,0.5165169,26.62177,0.2547095,15.726970000000001,0.4460464,23.22234,0.3852699,5.1429279999999995,1.5536889999999999,-11.216239999999999,19.89592,0.02332496,0.01580617,0.0140323,0.37966669999999997,0.41152269999999996,0.08666667,0.08061726,2.265,5.562883,-40.562020000000004
